publisher,org_id,inventory_type,relationship_type_given,account_manager_name,account_manager_email,domain,ad_request,revenue,ads_txt_lines,ssp_domain,pub_id,relationship_type,ssp_id,ads_txt_lines_scraped,domain_scraped,inventory_type_scraped,ads_txt_url_scraped,ssp_domain_scraped,pub_id_scraped,relationship_type_scraped,ssp_id_scraped,ads_txt_status,ads_txt_status_v2,repr_error_msg,response_code
basketballnetwork.net,17,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,basketballnetwork.net,1000,10,"appnexus.com,9538,reseller,f5ab79cb980f11d1",appnexus.com,9538,reseller,f5ab79cb980f11d1,"appnexus.com,9538,reseller,f5ab79cb980f11d1",basketballnetwork.net,ads.txt,https://www.basketballnetwork.net/ads.txt,appnexus.com,9538,reseller,f5ab79cb980f11d1,present,present,,
jpost.com,15,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,jpost.com,1000,10,"appnexus.com,9538,reseller,f5ab79cb980f11d1",appnexus.com,9538,reseller,f5ab79cb980f11d1,"appnexus.com,9538,reseller,f5ab79cb980f11d1",jpost.com,ads.txt,https://www.jpost.com/ads.txt,appnexus.com,9538,reseller,f5ab79cb980f11d1,present,present,,
justjared.com,192,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,justjared.com,1000,10,"appnexus.com,9538,reseller,f5ab79cb980f11d1",appnexus.com,9538,reseller,f5ab79cb980f11d1,"appnexus.com,9538,reseller,f5ab79cb980f11d1",justjared.com,ads.txt,https://www.justjared.com/ads.txt,appnexus.com,9538,reseller,f5ab79cb980f11d1,present,present,,
realcleardefense.com,172,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,realcleardefense.com,1000,10,"rubiconproject.com,24434,reseller,0bfd66d529a55807",rubiconproject.com,24434,reseller,0bfd66d529a55807,"rubiconproject.com,24434,reseller,0bfd66d529a55807",realcleardefense.com,ads.txt,https://www.realcleardefense.com/ads.txt,rubiconproject.com,24434,reseller,0bfd66d529a55807,present,present,,
soaphub.com,20,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,soaphub.com,1000,10,"appnexus.com,9538,reseller,f5ab79cb980f11d1",appnexus.com,9538,reseller,f5ab79cb980f11d1,"appnexus.com,9538,direct",soaphub.com,ads.txt,https://www.soaphub.com/ads.txt,appnexus.com,9538,direct,,present,present,,
usnews.com,187,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,usnews.com,1000,10,"rubiconproject.com,24434,reseller,0bfd66d529a55807",rubiconproject.com,24434,reseller,0bfd66d529a55807,"rubiconproject.com,24434,reseller,0bfd66d529a55807",usnews.com,ads.txt,https://www.usnews.com/ads.txt,rubiconproject.com,24434,reseller,0bfd66d529a55807,present,present,,
wsoctv.com,197,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,wsoctv.com,1000,10,"lijit.com,253233,reseller,fafdf38b16bf6b2b",lijit.com,253233,reseller,fafdf38b16bf6b2b,"lijit.com,253233,reseller,fafdf38b16bf6b2b",wsoctv.com,ads.txt,https://www.wsoctv.com/ads.txt,lijit.com,253233,reseller,fafdf38b16bf6b2b,present,present,,
KITV.COM,120,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,KITV.COM,1000,10,"lijit.com,253233,reseller,fafdf38b16bf6b2b",lijit.com,253233,reseller,fafdf38b16bf6b2b,"lijit.com,253233,reseller,fafdf38b16bf6b2b",KITV.COM,ads.txt,https://www.kitv.com/ads.txt,lijit.com,253233,reseller,fafdf38b16bf6b2b,present,present,,
boston25news.com,145,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,boston25news.com,1000,10,"pubmatic.com,159302,reseller,5d62403b186f2ace",pubmatic.com,159302,reseller,5d62403b186f2ace,"pubmatic.com,159302,direct,5d62403b186f2ace",boston25news.com,ads.txt,https://www.boston25news.com/ads.txt,pubmatic.com,159302,direct,5d62403b186f2ace,present,present,,
christianpost.com,207,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,christianpost.com,1000,10,"onetag.com,7e9adb1ccca08d0,reseller",onetag.com,7e9adb1ccca08d0,reseller,,"onetag.com,7e9adb1ccca08d0,reseller",christianpost.com,ads.txt,https://www.christianpost.com/ads.txt,onetag.com,7e9adb1ccca08d0,reseller,,present,present,,
dailydot.com,177,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,dailydot.com,1000,10,"lijit.com,253233,reseller,fafdf38b16bf6b2b",lijit.com,253233,reseller,fafdf38b16bf6b2b,"lijit.com,253233,reseller,fafdf38b16bf6b2b",dailydot.com,ads.txt,https://www.dailydot.com/ads.txt,lijit.com,253233,reseller,fafdf38b16bf6b2b,present,present,,
dailydot.com,177,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,dailydot.com,1000,10,"media.net,8cuv34pj4,reseller",media.net,8cuv34pj4,reseller,,"media.net,8cuv34pj4,reseller",dailydot.com,ads.txt,https://www.dailydot.com/ads.txt,media.net,8cuv34pj4,reseller,,present,present,,
escapistmagazine.com,194,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,escapistmagazine.com,1000,10,"appnexus.com,9538,reseller,f5ab79cb980f11d1",appnexus.com,9538,reseller,f5ab79cb980f11d1,"appnexus.com,9538,reseller,f5ab79cb980f11d1",escapistmagazine.com,ads.txt,https://www.escapistmagazine.com/ads.txt,appnexus.com,9538,reseller,f5ab79cb980f11d1,present,present,,
escapistmagazine.com,194,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,escapistmagazine.com,1000,10,"media.net,8cuv34pj4,reseller",media.net,8cuv34pj4,reseller,,"media.net,8cuv34pj4,reseller",escapistmagazine.com,ads.txt,https://www.escapistmagazine.com/ads.txt,media.net,8cuv34pj4,reseller,,present,present,,
fandomwire.com,13,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,fandomwire.com,1000,10,"onetag.com,7e9adb1ccca08d0,reseller",onetag.com,7e9adb1ccca08d0,reseller,,"onetag.com,7e9adb1ccca08d0,reseller",fandomwire.com,ads.txt,https://www.fandomwire.com/ads.txt,onetag.com,7e9adb1ccca08d0,reseller,,present,present,,
maariv.co.il,53,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,maariv.co.il,1000,10,"lijit.com,253233,reseller,fafdf38b16bf6b2b",lijit.com,253233,reseller,fafdf38b16bf6b2b,"lijit.com,253233,reseller,fafdf38b16bf6b2b",maariv.co.il,ads.txt,https://www.maariv.co.il/ads.txt,lijit.com,253233,reseller,fafdf38b16bf6b2b,present,present,,
philstar.com,103,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,philstar.com,1000,10,"rubiconproject.com,24434,reseller,0bfd66d529a55807",rubiconproject.com,24434,reseller,0bfd66d529a55807,"rubiconproject.com,24434,reseller,0bfd66d529a55807",philstar.com,ads.txt,https://www.philstar.com/ads.txt,rubiconproject.com,24434,reseller,0bfd66d529a55807,present,present,,
wftv.com,206,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,wftv.com,1000,10,"appnexus.com,9538,reseller,f5ab79cb980f11d1",appnexus.com,9538,reseller,f5ab79cb980f11d1,"appnexus.com,9538,reseller,f5ab79cb980f11d1",wftv.com,ads.txt,https://www.wftv.com/ads.txt,appnexus.com,9538,reseller,f5ab79cb980f11d1,present,present,,
wsbtv.com,65,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,wsbtv.com,1000,10,"appnexus.com,9538,reseller,f5ab79cb980f11d1",appnexus.com,9538,reseller,f5ab79cb980f11d1,"appnexus.com,9538,reseller	",wsbtv.com,ads.txt,https://www.wsbtv.com/ads.txt,appnexus.com,9538,reseller	,,present,present,,
wsbtv.com,65,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,wsbtv.com,1000,10,"lijit.com,253233,reseller,fafdf38b16bf6b2b",lijit.com,253233,reseller,fafdf38b16bf6b2b,"lijit.com,253233,reseller,fafdf38b16bf6b2b",wsbtv.com,ads.txt,https://www.wsbtv.com/ads.txt,lijit.com,253233,reseller,fafdf38b16bf6b2b,present,present,,
wxow.com,203,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,wxow.com,1000,10,"lijit.com,253233,reseller,fafdf38b16bf6b2b",lijit.com,253233,reseller,fafdf38b16bf6b2b,"lijit.com,253233,reseller,fafdf38b16bf6b2b",wxow.com,ads.txt,http://wxow.com/ads.txt,lijit.com,253233,reseller,fafdf38b16bf6b2b,present,present,,
betterreport.com,56,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,betterreport.com,1000,10,"rubiconproject.com,24434,reseller,0bfd66d529a55807",rubiconproject.com,24434,reseller,0bfd66d529a55807,"rubiconproject.com,24434,reseller,0bfd66d529a55807",betterreport.com,ads.txt,https://www.betterreport.com/ads.txt,rubiconproject.com,24434,reseller,0bfd66d529a55807,present,present,,
comingsoon.net,110,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,comingsoon.net,1000,10,"appnexus.com,9538,reseller,f5ab79cb980f11d1",appnexus.com,9538,reseller,f5ab79cb980f11d1,"appnexus.com,9538,reseller,f5ab79cb980f11d1",comingsoon.net,ads.txt,https://www.comingsoon.net/ads.txt,appnexus.com,9538,reseller,f5ab79cb980f11d1,present,present,,
christianpost.com,207,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,christianpost.com,1000,10,"media.net,8cuv34pj4,reseller",media.net,8cuv34pj4,reseller,,"media.net,8cuv34pj4,reseller",christianpost.com,ads.txt,https://www.christianpost.com/ads.txt,media.net,8cuv34pj4,reseller,,present,present,,
jpost.com,15,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,jpost.com,1000,10,"rubiconproject.com,24434,reseller,0bfd66d529a55807",rubiconproject.com,24434,reseller,0bfd66d529a55807,"rubiconproject.com,24434,reseller,0bfd66d529a55807",jpost.com,ads.txt,https://www.jpost.com/ads.txt,rubiconproject.com,24434,reseller,0bfd66d529a55807,present,present,,
kiro7.com,171,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,kiro7.com,1000,10,"pubmatic.com,159302,reseller,5d62403b186f2ace",pubmatic.com,159302,reseller,5d62403b186f2ace,"pubmatic.com,159302,direct,5d62403b186f2ace",kiro7.com,ads.txt,https://www.kiro7.com/ads.txt,pubmatic.com,159302,direct,5d62403b186f2ace,present,present,,
maariv.co.il,53,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,maariv.co.il,1000,10,"media.net,8cuv34pj4,reseller",media.net,8cuv34pj4,reseller,,"media.net,8cuv34pj4,reseller",maariv.co.il,ads.txt,https://www.maariv.co.il/ads.txt,media.net,8cuv34pj4,reseller,,present,present,,
maariv.co.il,53,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,maariv.co.il,1000,10,"rubiconproject.com,24434,reseller,0bfd66d529a55807",rubiconproject.com,24434,reseller,0bfd66d529a55807,"rubiconproject.com,24434,reseller,0bfd66d529a55807",maariv.co.il,ads.txt,https://www.maariv.co.il/ads.txt,rubiconproject.com,24434,reseller,0bfd66d529a55807,present,present,,
wftv.com,206,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,wftv.com,1000,10,"lijit.com,253233,reseller,fafdf38b16bf6b2b",lijit.com,253233,reseller,fafdf38b16bf6b2b,"lijit.com,253233,reseller,fafdf38b16bf6b2b",wftv.com,ads.txt,https://www.wftv.com/ads.txt,lijit.com,253233,reseller,fafdf38b16bf6b2b,present,present,,
wtva.com,112,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,wtva.com,1000,10,"appnexus.com,9538,reseller,f5ab79cb980f11d1",appnexus.com,9538,reseller,f5ab79cb980f11d1,"appnexus.com,9538,reseller,f5ab79cb980f11d1",wtva.com,ads.txt,https://www.wtva.com/ads.txt,appnexus.com,9538,reseller,f5ab79cb980f11d1,present,present,,
justjared.com,192,ads.txt,DIRECT,publishers@test_ssp.com,publishers@test_ssp.com,justjared.com,1000,10,"lijit.com,253233,reseller,fafdf38b16bf6b2b",lijit.com,253233,reseller,fafdf38b16bf6b2b,"lijit.com,253233,reseller,fafdf38b16bf6b2b",justjared.com,ads.txt,https://www.justjared.com/ads.txt,lijit.com,253233,reseller,fafdf38b16bf6b2b,present,present,,
